,commentIds,comments
623,FDA-2012-D-0071-0529,DO NOT PERFORM CRUEL ANIMAL TESTS!!!!!
624,FDA-2009-N-0294-0481,Please see the attached document that compares the FDA toxic-tobacco mandate to the proposed Toxic-Tobacco Law. Hopefully some of the elements of the Toxic-Tobacco Law can be incorporated into FDA regulations.
626,FDA-2012-D-0071-1230,"Please, stop animal testing for tobacco products!"
628,FDA-2015-N-1514-0206,"Hello my name is Daniel I am 31 years old. I started smoking when I was 15 years old and tried to quit multiple times with everything from gum, patches, cold turkey and about everything else you could try with about the longest success being a week or two before going back to cigarettes. About 2 years ago I got a mark ten e cigarette for free in the mail from phillip Morris to try out. It seemed to help some but just never was satisfying and the cost was equal to smoking and never stuck with it and kept going back to smokimg. Then I decided to go to a vaping shop and get a real vaping device and try it out. I started on 18 mg nicotine and within about 3 months I moved down to 3 mg nicotine and haven't touched a cigarette since the day I started vaping with a actual real vaping device and not a cheap gas station one. The benefits I notice are amazing. Since starting vaping I can breath from my nose now. Before when I was smoking I had trouble to even breath from my nose and always was clogged with boogers every morning. I hacked up phlegm everyday and coughed like crazy when I woke up. Since vaping all of these symptoms have gone away. I no longer smell like a ashtray and my overall heath has improved I can hold my breath much longer now. Vaping has changed my life and millions of others life's as well. To create unneeded regulations against vaping in my opinion is a horrible idea and the only logical reason for the government to do it would be for profit and political corruption. I do believe in keeping it out of the hands of children and creating child proof bottles and things like that but for grown adults having nicotine in the liquids is a must. There is no doubt cigarettes are worse for everyone than vaping electronic cigarette's are. This is freedom from cancer sticks and is the only thing that has worked in 16 years for me and I know millions of others. Please don't take away my hope and freedom from cigarette's."
630,FDA-2012-D-0071-0476,Animal testing for tobacco products or anything else is cruel and unnecessary. This should not be allowed. 
631,FDA-2012-D-0071-1600,"Please discontinue cigarette smoke experiments on live animals.  My Mother died from smoking cigarettes, and I can tell you first hand, without any experiments, it is dangerous, and fatal, and should be illegal.  Please stop harming innocent victims to prove what we all already know.  Thank you."
632,FDA-2009-N-0294-0182,Keep the fox out of the hen house. I have seen the incredible damage that tobacco has and continues to create!!
633,FDA-2012-D-0071-1467,"I am writing in response to the testing the effects of tobacco on animals.  These deadly tests are included in the draft guidance even though they are irrelevant to human smokers.  Further,  there are more modern and accurate non-animal methods available, such as computer simulation, tests using human cells, and clinical studies with human smokers.  For decades, the tobacco industry used results from these misleading animal tests to deny the link between smoking and cancer because animals forced to inhale cigarette smoke don't develop the same diseases that human smokers do.Please prevent animals from being subjected to these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed."
634,FDA-2012-D-0071-0753,Stop this very cruel practice today!
636,TTB-2010-0004-0172,"See the attached comment letter, which was hand-delivered to TTB on October 24, 2011.  The comment letter was filed by Robert J. Jones of the Arnold & Porter law firm on behalf of John Middleton Company, which manufacturers pipe tobacco and cigars, and Philip Morris, USA Inc., which manufacturers cigarettes."
637,FDA-2015-N-1514-0326,"Dear Madam or Sir, Please see the uploaded file for Fontem Ventures' comments on the FDA Proposed Rule: Nicotine Exposure Warnings and Child-Resistant Packaging for Liquid Nicotine, Nicotine-Containing ELiquid (s), and Other Tobacco Products. Please do not hesitate to contact me for any further information. Kind regards, Marc MichelsenMarc MichelsenDirector Communications & Public AffairsFontem Ventures12th Floor Barbara Strozzilaan 1011083 HN AmsterdamThe Netherlands"
638,FDA-2012-D-0071-0370,Please stop tobacco testing on animals.
639,FDA-2012-D-0071-0881,To the FDA:  Please remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing.
640,FDA-2009-N-0294-0261,"Dear Commissioner Hamburg, FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigour.I urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you for working to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely,Ian Campbell Cree, MB(Hons.), MS, FRCS(Eng. & C.), FACS, LRCP."
641,FDA-2019-D-4188-0003,"This is an extremely onerous process for the thousands of variations inherent with electronic cigarette liquids. This process was developed with combustible tobacco in mind, where variations are limited. In the electronic cigarette liquid space, size and flavor variations are numerous, resulting in a practically impossible and completely unaffordable process.Please provide a SE process, or share data across applications, so that testing for each ingredient only has to be done once, rather than thousands of times. As it sits, this process will drive the entire industry out of business, savethe large tobacco companies, who have been killing Americans for a hundred years."
642,FDA-2015-N-1514-0391,"Nicotine containing liquids should be restricted because their use, especially by children,  can cause fatalities."
643,FDA-2015-N-1514-0065,Vaping has completly changed my life i am an ex addict i have been clean 2 years now and not only have i stopped smoking but when i get stressed out or depressed i have a group of people or a community i can turn too i agree with the bottles needing to be child proof but i love to sit back and build my coils and talk to other vapers about it my doctor has said my health is better i can breath better food taste better and i smell better
644,FDA-2012-D-0071-1205,"If you don't mind me saying so, I seriously do not appreciate your tendency to test tobacco products on animals, or test on animals in any way, for that matter. Since the world already knows tobacco has ill effects on humanity, why is it that you still force dogs, monkeys, etc. to smoke and jam defenseless rodents into canisters, where they breathe tobacco smoke for hours on end? We're all aware of the ill effects (even though a fraction of us fail to utilize our greater judgement). Not only that, but the animals will not endure the same effects that humans will, so you're basing your conclusions on results that may vary, which even I (at 15 years of age) know is extremely bad for business. I would greatly appreciate for your organization to cease this ludicrous and inhumane affair and let these sentient beings roam free, rather than poisoning them and disrespecting their dead, all for the sake of results that are indeed useless. Thank you very much for reading, and have a nice day. Peace always."
645,FDA-2012-D-0071-1149,"Hello,Please take away anything that allows animal tests from your draft guidance on tobacco product testing.As long as you don't remove it, many animals have to suffer through horrible torture just so some people can enjoy tobacco, even though there are other possibilities to test the products.Thank you for your time!"
648,TTB-2010-0004-0097,"Please do not reclassify Pipe Tobacco.  Lets leave things as they are.  We need a break from new taxes and changes, especially those that affect simple pleasures we have left to enjoy.    Thank you.  "
649,FDA-2011-N-0467-0084,"Ok, So we are going to let anyone buy e cigs over the Internet? How will this be monitored? Does this mean that my 15 year old can go online and order cigarettes now? When they show up atthe house say I have no clue? How do we know that the people are legal smoking age? We don't. If there is one thing that we have learned and preached about the internet, it is that you never know who is on the other end. Avaliablty needs to be regulated."
650,FDA-2012-D-0071-0632,Please have you seen whta are done to these poor animals. That's cruelty at any level. Would you like to be in a tube breathing smoke all day
651,FDA-2012-D-0071-0505,No animal should be used to test things.
652,FDA-2012-D-0071-0284,"Please stop testing on animals, it's utterly horrendous! There are many ways to conduct test without harming living creatures, many countries have already developed ways to conduct testing without harming animals, the United States should follow suit."
653,TTB-2010-0004-0018,See attached file(s)
656,FDA-2012-D-0071-1614,"The U.S. Food and Drug Administration (FDA) is currently making recommendations for the testing of tobacco products, and some of the tests it is proposing are cruel experiments on animals. In some of the horrendous tobacco tests that could be conducted, rats would be jammed into tiny canisters and forced to breathe concentrated cigarette smoke for as long as six hours a day for months at a time.  The animals would then be killed and their bodies dissected.This is cruel and inhumane!  Such deadly tests are included in the guidance even though they are irrelevant to human smokers and there are more modern and accurate non-animal methods available, such as computer simulation, tests using human cells, and clinical studies with human smokers.For decades, the tobacco industry used results from misleading animal tests to deny the link between smoking and cancer because animals forced to inhale cigarette smoke don't develop the same diseases that human smokers do.Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods.No more animals should suffer and die for these inaccurate and cruel tests on products that we already know are deadly when used as directed!Please immediately remove any language recommending or allowing animal tests from the FDA's draft guidance on tobacco product testing.Thank you."
657,FDA-2009-N-0294-0199,"I study agricultural systems and policies. The move of tobacco product regulation to the FDA is an important step forward, but leaving loopholes for the Tobacco Companies to leverage policy will certainly undermine the potentially positive effects of this move, as it has repeatedly in agricultural policy, to the detriment of farmers, consumers, the public health, and the environment. Please ensure that the FDA truly regulates tobacco production, modification, and sales, and does not serve as teh regulatory lapdog for the industry, as has occurred in so many other industries.Charles Rhodes"
658,FDA-2009-N-0294-0249,"Dear Commissioner Hamburg, I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely, Brenna Davis"
660,FDA-2009-N-0294-0234,"This collaboration of FDA with big Tobacco is a gross misconductand clear conflict of interest.Who says the numerous health hazards of tobacco use are the Big Tobacco's concern,it is their money they want so how can they make policies that would affect their bussiness,please FDA and Government,not let us down.OLIVIA"
661,FDA-2012-D-0071-0863,This consider animal cruelty! Please stop with those animal testing. I beg you for animal welfare please stop this cruel practice and stop animal testing for all different kinds of testing. 
662,FDA-2009-N-0294-0128,"Dear Commissioner Hamburg,I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely, Jennifer Mihok"
663,FDA-2012-D-0071-1019,"To whom it may concern:I am writing to voice my oppinion that the FDA should no longer use poor, innnocent animals who will suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly.  The testing needs to stop and it needs to stop now, it's a waste of time, money, and what these poor animals endure is absolutely ridiculous when we already now the outcome.Thank you for your time and consideration,Barbara PetriniJohnston, RI"
665,FDA-2012-D-0071-0392,"The FDA is a joke in every sense of the word.  This approval of animal testing to further prove that cigarettes will kill you is so very typical of them.  Remember, this is the agency that approved Olestra because Proctor and Gamble paid them to.Leave the animals alone.  Try to something responsible with the billions of dollars you waste every year."
666,FDA-2012-D-0071-1229,"Please, stop animal testing for tobacco products!"
669,FDA-2012-D-0071-1798,See attached file(s)
672,FDA-2012-D-0071-0998,"This is archaic and cruel abuse. There is no reason to continue these horrendous tests, and I urge you to shut down your testing sites to seek new and improved methods of tobacco testing. This makes an unattractive product even less appealing to consumers. Further, the science behind this type of testing is highly subjective and manipulative, and does NOT correlate to human subjects. Please stop IMMEDIATELY."
673,FDA-2012-D-0071-0803,"I wish to inform the FDA loudly and clearly that no more animals should suffer and die for any archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed!NO MORE of this stupid use of the public's monies for tests that are meaningless.In some of the horrendous tobacco tests that could be conducted, rats would be forced to breathe tobacco smoke for as long as six hours a day for months at a time by jamming the animals into tiny canisters and pumping concentrated cigarette smoke directly into their noses. The animals would then be killed and their bodies dissected.For decades, the tobacco industry used results from these misleading animal tests to deny the link between smoking and cancer because animals forced to inhale cigarette smoke don't develop the same diseases that human smokers do."
674,FDA-2012-D-0071-0009,I would like to urge you to remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing. Animals should not have to endure these cruel tests.
675,FDA-2012-D-0071-0073,this is horrible
676,FDA-2015-N-1514-0120,See attached file(s)
678,FDA-2012-D-0071-1076,god will do this same with you in your next birth.
679,FDA-2012-D-0071-1010,"This is absolutely HORRIFIC! Everyone knows tobacco kills. Its no secret anymore. Which leaves little to no reason for these absolutely unnecessary testings and even less need for the suffering of these innocent animals. Think. Find your compassion wherever its hiding inside of you and let it out. No human can possibly think that this is OK, because we were not created for this sort of thing. It is against our nature to abuse and mistreat creatures with no defense system. So please, just stop. The world will be a better place for it."
680,FDA-2015-N-1514-0071,"Most Eliquids can be purchased with varying levels of nicotine, including 0 mg. Please be sure to note this. It's the nicotine that is your concern, not the Eliquid itself. Don't equate Eliquid with nicotine. "
681,FDA-2013-N-0521-0436,See attached file(s)
682,FDA-2012-N-0853-0015,"We at Global Laboratory Services, Inc., invite the FDA to visit our facility in the effort to share knowledge.  Contact:   Mr. Andrae Spencer,  252-234-4950,  e-mail:  Spencea1@globallaboratory.comPhysical Address:  2107 Black Creek Road, Wilson, NC  27893Type of Process:  Testing LaboratoryProducts Tested:  e-liquids, ENDS, tobacco, smokeless products, cigarettes, pipe tobacco, RYO, shisha, cigars, pesticide residues, USP nicotine and flavors.Propose Agenda:IntroductionsGeneral discussion related to testing laboratory qualificationsFacility TourQuestions and AnswersWe look forward to meeting with you."
684,FDA-2013-N-0521-0187,"The Honorable Douglas E. Facemire, Senate of West Virgina - Comment"
685,FDA-2012-D-0071-1666,"Please remove requirements to test tobacco products on animals.There is no scientific doubt remaining regarding the harmful effects of tobacco smoke on both humans and animals cardiovascular and respiratory systems, as well as the increased cancer risk.  Therefore there is no excuse for perpetuating cruel testing on living, feeling animals.  Even rats have feelings and deserve not to suffer needlessly.  Thank you."
686,FDA-2009-N-0294-0362,"Dear Ladies / Gentlemen:On behalf of Shorewood Packaging, a folding carton manufacturer based in New York, NY, we would like to comment on the process of developing regulation for the tobacco products industry.We provide significant employment in our U.S. plants in the manufacturing of tobacco packaging.  We have invested tens of millions of dollars in capability to print packaging for a number of major U.S. based tobacco products companies.  Therefore, we consider ourselves a stakeholder to any U.S. change in regulation that would change the packaging requirements for our customers.We ask that, in this process, the FDA use an evidence-based approach to develop regulations that would impact packaging changes.  The regulatory community plays a role that may significantly impact the cost of packaging that we make.  It's likely that regulatory changes that impact printed packaging for tobacco products could impact efficiency, cost and employment in the manufacturing supply chain.It is important that any change in regulation a) considers the costs of the change, b) allows the supply chain ample time to implement any change; to thereby mitigate cost and hardship in our plants, and c) attempts to manage implementation of regulations without increasing the size of the regulatory apparatus, which may lead to new taxes, user feeds or other costs of operation.On behalf of Shorewood Packaging, thank you for your consideration"
687,FDA-2012-D-0071-0313,We already know tobacco causes cancer.  Stop testing it and start doing something about cancer itself.
689,FDA-2012-D-0071-0499,Please DO NOT harm or torture animals
690,FDA-2012-D-0071-1692,I am disgusted by the continued disregard for life. Smoking kills. What more needs to be said or tested??
692,FDA-2009-N-0294-0339,"The three concerns that I have are: the inclusion of tobacco industry representatives on the Advisory Committee, the inclusion of menthol flavoring as an allowed additive, possible undermining of local and state smokefree laws, and the regulation of new tobacco/nicotine products such as the e-cigarette. Even though the tobacco industry industry representatives are non-voting, they can use the internal committee knowledge to undermine proposed regulations, and their involvement should be very limited. The RICO case found many ways that the tobacco industry used their influence to thwart the best interests of the American people. Also the Framework Convention on Tobacco Control specifically bars tobacco industry involvment on advisory groups. Menthol should be not be allowed in cigarettes. Research clearly shows increased risk of lung cancers that are deeper and harder to detect. I don't understand why menthol was ever excluded from the banned additive list except for political reasons.In addition, any actions that the FDA takes should not undermine the local and state efforts to pass and enforce strong smokefre laws, which have been very effective in reducing secondhand smoke exposure and smoking rates.Finally, products such as e-cigarettes should be regulated as a tobacco product or drug delivery system. The research on long-term effects is lacking, and some states have already passed bans on these products due to the potential of their widespread use and public health effects. Tobacco control advocates are looking foward to the increased regulation of tobacco  products. The American public is trusting the FDA to protect them from a product that has no safe level of exposure. This puts the U.S. government in a strange position. I certainly hope that the F.D.A. adopts as strong regulations as possible in order to truly protect the American public and prevent future lawsuits."
694,FDA-2012-D-0071-0510,"To the FDA:In some of the horrendous tobacco tests that could be conducted, rats would be forced to breathe tobacco smoke for as long as six hours a day for months at a time by jamming the animals into tiny canisters and pumping concentrated cigarette smoke directly into their noses. The animals would then be killed and their bodies dissected.For decades, the tobacco industry used results from these misleading animal tests to deny the link between smoking and cancer because animals forced to inhale cigarette smoke don't develop the same diseases that human smokers do.Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods.Please do not torture/test on animals.  Its cruel and unnecessary.  There are humane alternatives to testing that do not involve  experimenting on innocent animals."
696,FDA-2012-D-0071-1655,I am very upset to learn that animals are forced to inhale toxic cigarette smoke when humans voluntarily do so. I feel that these tests are a waste of my tax dollars. Testing on animals seems pointless when humans are very willing subjects and the results can be instantly used to improve human life. I hope that money us better spent and these animals are released to a sanctuary.
698,FDA-2012-D-0071-1755,I am against any testing on animals from the tobacco industry. We know that cigarette smoke causes cancer. I don't understand what it is that anyone thinks they'll accomplish by subjecting animals to inhumane smoke tests. This is disgusting. I think enough lives have been wasted because of the tobacco industry. 
699,FDA-2009-N-0294-0439,Pharmacies should be prohibited from selling tobacco products. The statistics cited in this call for comments brief underscore a clear and counter-productive conflict of interest; one cannot promote health while simultaneously sell substances like cigraettes that destroy health.  The passage of such a ban in San Franscico and Walgreen's failed challenge to this ban indicates a) the so-called health care busineeses are more concerned about their bottom line than the medical and social responsibility they market; and b) that such a law will survive such misplaced and self-serving challenges. The time has come to make it a national regulation!
700,FDA-2012-N-0143-0057,Please see the attached comments from the AHA Tobacco Regulation and Addiction Center (A-TRAC).
701,FDA-2012-D-0071-0091,Please do not use animal testing. everyone knows that smoking is bad for them.  It does not seem right to make innocent animals suffer for the stupidity of man.
702,FDA-2012-D-0071-1073,"I am shocked to learn that the FDA continues to support animal experimentation on tobacco products. Considered archaic and fundamentally flawed, product testing on animals lacks social legitimacy and validation.Furthermore, to foster an idea that consumers continually support animal experimentation due to some inaccurate notion that it will prevent them from being harmed is unprincipled. Animals suffer drastically different effects from tobacco use than humans.  Tobacco use and abuse can factually lead to harm regardless of how many animals are wrongfully killed during the product testing phase.Please make both the ethical and financially-responsible decision to discontinue animal experimentation immediately: remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing;  join an increasing body of countries who are listening to a concerned and attentive consumer population who refuse to be complicit in the inherently malicious and ineffective industry of animal experimentation.Regards,Diane Baxter-MacArthur"
703,FDA-2012-D-0071-0175,"You have GOT to be kidding me!! This is sick, cruel, & senseless!Belgium, Germany, the U.K., and other countries have banned the testing of tobacco products on animals, and all the tobacco safety tests required by the Canadian government are modern, non-animal methods.No more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed.I urge you as a US voting and working citizen to please remove any language recommending or allowing animal tests from your draft guidance on tobacco product testing."
706,FDA-2012-D-0071-1440,I am urging the FDA to remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing. Please stop testing on animals!
708,FDA-2012-D-0071-1161,"Hello,Please remove any language from the draft guidance on tobacco product testing that allows animal testing.I wish to urge you to STOP barbaric, inhumane animal testing regarding tobacco.  Everyone knows that tobacco usage kills - we should not continue testing on poor innocent animals.I have seen pictures of laboratory rats jammed into glass tubes and they can't even turn around or wiggle. Are you kidding me? It's ridiculous in this modern society that humans treat living creatures in this manner.Thank you,Adrienne Miriani, RD"
709,FDA-2013-N-0521-0388,"The comments below are submitted by Maansi Bansal-Travers, PhD, MS, on behalf of Roswell Park Cancer Institute’s Tobacco Research Program in response to Food and Drug Administration’s (FDA) request for comments on the scientific evaluation of menthol in cigarettes (Docket Number FDA-2013-N-0521).  We submit for consideration to the FDA that, based on the current scientific evidence, menthol cigarettes and the marketing of menthol cigarettes increases the likelihood of youth becoming smokers and causes net population harm.  The following comment is submitted to the FDA as supporting evidence to remove menthol as a “characterizing flavor” in tobacco products, particularly cigarettes.On the basis of the evidence presented in our comment, we believe it is justified to ban menthol as a characterizing flavor in cigarettes and any such regulation should take into account the multiple, varied ways by which menthol may impart its characterizing flavor in cigarettes.Please see attached document for complete comment with references."
710,FDA-2011-N-0467-0019,"I must say that the portions of this document pertaining to the sale of electronic cigarettes are ludicrous at best. This industry is thriving completely on its own merit and has an extremely large consumer basis, of which I am one, who are very open with the sharing of information, thus creating a quality check system for all electronic cigarette vendors that functions completely on its own.I am one of thousands that has used electronic cigarettes to quit the devastating vice that is smoking tobacco. Since quitting cigarettes and vaping in its place, my physician has been thoroughly astounded by the immense changes in my physical health. I was diagnosed with chronic bronchitis not long before quitting, and it has now cleared up entirely. My newly regained lung capacity thanks to electronic cigarettes has truly been a godsend, not to mention I can smell and taste again.I understand the need for quality control and a competitive market, thus I am highly suggesting that portions of this bill be re-written. According to the CEO of Smoke-Free Pennsylvania, on a scale of harm where cigarettes are a 100 and other forms of smoking cessation (including but not limited to nicotine patches and gum) are a 1, electronic cigarettes would not rank more than a 2.Part of the reason so many of us have been able to easily transition to vaping is with the help of online vendors who have already implemented their own age verification (18+) systems. In addition, many would not have been able to fully quit nicotine using vaping, or begin vaping for harm reduction purposes and never touch another cigarette if it were not for the variation of strengths and flavors available to us. I'm sure I speak for thousands when I say that limiting our choices in such an area is not only harmful to this thriving industry, but will cause a massive decline in the amount of people who are able to successfully quit using e-cigs.Please make the right decision. You will be saving countless lives."
711,TTB-2010-0004-0075,i think that they should leave taxs alone on pipe tobacco 
713,FDA-2009-N-0294-0083,"When all flavored cigarettes are banned in 3 months, all remaining flavored stock need to be removed from shelves.  Otherwise enforcement is impossible.The tobacco industry must be prohibitied from using social network internet sources such as Facebook because a recent article in Pediatrics online states teens see more pro-tobacco messages than anti-tobacco messages on these networks.  This leads them to think smoking is OK and cool."
714,FDA-2009-N-0294-0502,It is sad to see that our rights as citizens are slowly being taken away. Now you guys can control what kind of cigarettes we smoke. I can tell you that I am highly unsatisfied with your decision to ban flavored tobacco.
715,FDA-2015-N-1514-0304,"As a Pediatrician, I urge the FDA to take swift action to protect children from poisoning from liquid nicotine products.  This also should include safety warnings on all liquid nicotine products and child proof safety caps on all such products. Adolescents need to especially be warned about the addictive nature of liquid nicotine. Flavoring liquid nicotine makes it especially attractive to curious young children. Sincerely, Dr. Elizabeth Susan Hodgson, MD  FAAP"
717,FDA-2013-N-0521-0384,"This comment is in response to Tobacco Product Standards questions #2 and #3, on the potential regulation of other types of additives and flavors, and the potential regulation of other types of tobacco products.In addition to regulating the use of menthol in cigarettes, the FDA should study the effects of additives in smokeless “non-combustible” tobacco products, especially dipping tobacco, or moist snuff.  And the study should not be limited to menthol additives in smokeless tobacco, but to all additive flavorings.  Dipping tobacco has been show to cause a multitude of mouth cancers including cancer of the tongue, lip, cheek, gums, and on the base and roof of the mouth.  And while with cigarettes we’re used to seeing the primary additive as menthol, in smokeless tobacco that is not the case.  Companies that make dipping tobacco use a range of different flavors to attract customers.  For example, Grizzly, Kodiak, Longhorn, Stoker’s, and Husky all make a wintergreen and a mint flavored dipping tobacco.  Kayak makes wintergreen, mint, apple, peach, and grape.  Timber Wolf makes wintergreen, cool wintergreen, mint, apple, and peach.  Skoal makes wintergreen, mint, spearmint, Xtra mint, Xtra wintergreen, apple, cherry, berry, citrus, peach, and vanilla.  And Copenhagen makes wintergreen, mint, smooth hickory, and a whiskey blend flavored dip. Due to the high number of children under the age of eighteen—especially in certain regions of the country—who view dipping tobacco as a safe alternative to cigarettes, it is likely that many of them are initiated into the habit with the multiplicity of fruit and mint flavored products.  In fact, in certain communities, the fruit flavors (peach, apple, grape, berry, citrus) are seen as a good “starter” dip, before users—still teenagers—graduate to the range of mint flavors (mint, wintergreen, cool wintergreen, Xtra mint, Xtra wintergreen) which are known to be higher in nicotine content.  This range of flavors potentially makes dipping tobacco more palatable for young users.  Like in cigarettes, mint flavors could be reducing the irritation and harshness associated with smokeless tobacco.While the advertising of menthol cigarette is the subject of review in this current comment period, the marketing of flavored smokeless tobacco is clearly also an important issue for further study—one need only walk into a convenience store in some areas and see the rows of bright multi-colored tins displayed as if they were candy.  As part of the FDA’s implementation of the Tobacco Control Act of 2009, a study should be prepared on the effect and the marketing of the range of available dipping tobacco flavor additives.  In the end, regulation might be appropriate. "
718,FDA-2013-N-0521-0013,"Re:  Docket ID: FDA-2013-N-0521    Comment on Menthol in Cigarettes, Tobacco Products Dear Food and Drug Administration:Congress chose to ban flavored cigarettes not because they are more harmful or addictive, but because it believed that candy and fruit flavors were a significant factor in the marketing of cigarettes. Safety aside, the FDA has no choice but to apply the same criteria in judging menthol. The central question is whether menthol plays a role in marketing cigarettes to consumers. As the 1999 founder and director of WhyQuit.com, the leading abrupt nicotine cessation (cold turkey) education, motivation and support site, the method that each year generates more long-term successful U.S. ex-smokes than all other methods combined, I strongly support elimination of the use of menthol in cigarettes.The FDA need only look at store menthol cigarette marketing at more than 140,000 neighborhood convenience stores.  There, the industry spends billions annually on cool, refreshing, flavor and pleasure menthol marketing. There is strong evidence that menthol acts as an anesthetic agent that makes cigarette smoking more appealing by masking the harshness of burning tobacco. The addition of menthol deceives consumers into thinking that cigarettes are less harsh and therefore safer. Furthermore, for more than half a century, menthol cigarette brands have been disproportionately targeted to African Americans.Congress banned the easy flavorings while handing the FDA the one opposed by powerful economic interests.  Banning menthol would not only diminish youth smoking dependency onset by removing menthol's analgesic effects,  it will likely aid in accelerating both nicotine cessation and transfer to cleaner forms of delivery, such as smokeless, e-cigarettes and replacement nicotine. While I hope that the FDA is at last determined and serious about putting a dent in our nation's leading cause of preventable death, please understand that, in regard to smoking cessation, my confidence in the FDA was shattered long ago.  Thirty-one years ago, the FDA approved nicotine gum based upon two studies, despite obvious and glaring study blinding concerns discussed and reviewed by the advisory panel.  Since then, the FDA has continued to allow use of placebo controls despite clear and compelling evidence that 3 to 4 times as many assigned to placebo correctly declare their assignment as guess wrong, and can do so within 24-48 hours of cessation (peak withdrawal).  While approved products consistently show greater efficacy over placebo, they have proven ineffective and consistently fail to prevail over cold turkey and unassisted quitters in population level reviews.  Whether considering light or heavy smokers, the evidence is clear, real-world toying with replacement nicotine undercuts cessation.  We've watched as FDA approved quitting products have undercut and stalled cessation, while likely costing hundreds of thousands of lives.  As you can see, it's my opinion that the FDA and botched quitting product approval is the primary reason for America's failed smoking cessation policy.  The evidence is also clear that menthol is being used to market cigarettes and mask smoke's toxins.   Here's hoping the FDA at last begins giving weight to real-world evidence as billions in menthol marketing is impossible to miss. John R. PolitoNicotine Cessation EducatorDirector, WhyQuit.com "
719,FDA-2012-D-0071-0595,disgusting behavior like this is not deserved on any animal & smoking should be banned anyway!!!
